duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
50,vbe33875,4.31815,50.83736,Sale,139000,Appartment,FlatStudio,39723,1070,1950.0,Normal,45.0,1.0,1.0,,,,On contract,Brussels,QUAI INDUSTRIE,242.0,,,,,,,4457,
50,vbe33874,4.31815,50.83736,Sale,139000,Appartment,FlatStudio,39723,1070,1950.0,Normal,45.0,1.0,,,,,On contract,Brussels,QUAI INDUSTRIE,242.0,,,,,,,4452,
50,vbe33873,4.31815,50.83736,Sale,139000,Appartment,FlatStudio,39723,1070,1950.0,Normal,45.0,1.0,1.0,,,,On contract,Brussels,QUAI INDUSTRIE,242.0,,,,,,,4454,
51,vbe33924,4.3193694,50.8569755,Sale,550000,House,MixedBuilding,38140,1080,1960.0,Excellent,240.0,2.0,2.0,,20.0,,,Brussels,,,1.0,,,135.0,,,4004,
51,vbe09500,4.3193694,50.8569755,Sale,550000,House,MixedBuilding,38140,1080,1960.0,Excellent,240.0,2.0,2.0,,20.0,,,Brussels,,,1.0,,,135.0,,,4009,
52,vbe33570,4.3238064,50.8678643,Sale,145000,Appartment,Flat,46373,1090,1925.0,To be renovated,74.0,1.0,1.0,False,4.0,False,,Brussels,Avenue de la Constitution,68.0,,,40522.0,,,,4528,
52,vbe33569,4.3238064,50.8678643,Sale,145000,Appartment,Flat,46373,1090,1925.0,To be renovated,74.0,1.0,1.0,False,2.0,False,,Brussels,Avenue de la Constitution,68.0,,,30260.0,,,,4521,
53,vbd40930,4.32544479,50.59853255,Sale,280000,House,House,27584,1400,,,177.0,2.0,1.0,False,,False,,Brabant wallon,Rue du Pont Gotissart,8.0,,103.0,,,,,9419,
53,vbd40931,4.32544479,50.59853255,Sale,280000,House,House,27584,1400,,,177.0,2.0,1.0,False,,False,,Brabant wallon,Rue du Pont Gotissart,8.0,,103.0,,,,,8861,
54,rbw02385,4.32626152,50.99390857,Sale,495000,House,House,33657,1861,2026.0,New,185.0,3.0,1.0,False,15.0,False,,Vlaams brabant,Breemweg Wolvertem,,,,,80.0,,,6578,
54,rbw02386,4.32626152,50.99390857,Sale,495000,House,House,33657,1861,2026.0,New,185.0,3.0,1.0,False,15.0,False,,Vlaams brabant,Breemweg Wolvertem,,,,,80.0,,,6572,
55,vbd93916,4.3367347,50.6039471,Sale,340000,Appartment,Flat,41004,1400,2016.0,Excellent,88.0,2.0,1.0,True,,False,,Brabant wallon,Rue Par-Delà l'Eau,18.0,,,8333.0,,,False,9568,
55,vbe05250,4.3367347,50.6039471,Sale,340000,Appartment,Flat,41004,1400,2016.0,Normal,88.0,2.0,1.0,True,,False,,Brabant wallon,Rue Par-Delà l'Eau,18.0,,,8333.0,,,False,9471,
56,vbe10498,4.3474045,50.8382243,Sale,199000,Appartment,FlatStudio,44984,1000,,Fully renovated,35.0,1.0,1.0,,,True,On contract,Brussels,Rue des Capucins,38.0,,,4963.0,,,False,4802,
56,vbe10497,4.3474045,50.8382243,Sale,199000,Appartment,FlatStudio,44984,1000,,Fully renovated,35.0,1.0,1.0,,,True,On contract,Brussels,Rue des Capucins,38.0,,,4386.0,,,False,4797,
57,rbw19217,4.350574,51.17779,Sale,216000,Appartment,Flat,32660,2660,1961.0,,100.0,2.0,1.0,False,,False,Negotiable,Antwerp,Antwerpsesteenweg,13.0,,,,,,,13542,
57,rbv95543,4.350574,51.17779,Sale,216000,Appartment,Flat,32660,2660,1961.0,,100.0,2.0,1.0,False,,False,Negotiable,Antwerp,Antwerpsesteenweg,13.0,,,,,,,13920,
58,vbe34785,4.3538379,50.6969022,Sale,925000,House,Villa,38563,1420,1989.0,Excellent,265.0,5.0,3.0,False,45.0,,On contract,Brabant wallon,,,2.0,1116.0,,500.0,,,8746,
58,vbe21268,4.3538379,50.6969022,Sale,925000,House,Villa,38563,1420,1989.0,Excellent,265.0,5.0,3.0,False,45.0,,On contract,Brabant wallon,,,2.0,1116.0,,500.0,,False,9142,
59,rbw19250,4.3623826,50.8330701,Sale,299000,Appartment,Flat,38424,1050,,,70.0,1.0,1.0,,,,,Brussels,Rue du Pr?sident,11.0,,,,,,,4398,
59,rbw19249,4.3623826,50.8330701,Sale,299000,Appartment,Flat,38424,1050,,,70.0,1.0,1.0,,,,,Brussels,Rue du Pr?sident,11.0,,,,,,,4409,
60,rbw19471,4.3727272,50.9113762,Sale,539000,House,House,30482,1800,,New,142.0,3.0,1.0,,,,,Vlaams brabant,Streekbaan,152.0,,1631.0,,,,,5979,
60,rbw19470,4.3727272,50.9113762,Sale,539000,House,House,30482,1800,,New,142.0,3.0,1.0,,,,,Vlaams brabant,Streekbaan,152.0,,1109.0,,,,,5981,
61,vbe21110,4.3762325,50.8274539,Sale,409000,Appartment,Flat,47379,1050,1900.0,Excellent,98.0,2.0,1.0,False,,False,,Brussels,Rue de la Cuve,32.0,,,,,,False,4692,
61,vbe06496,4.3762325,50.8274539,Sale,409000,Appartment,Flat,47379,1050,1900.0,Excellent,98.0,2.0,1.0,False,,False,On contract,Brussels,Rue de la Cuve,32.0,,,141.0,,,False,4693,
62,vbe35905,4.3766927,50.8235717,Sale,350000,Appartment,Flat,39602,1050,,,70.0,1.0,1.0,,,,,Brussels,,,,,,,,,4166,
62,rbw20293,4.3766927,50.8235717,Sale,350000,Appartment,Flat,48985,1050,,Normal,70.0,1.0,1.0,,,True,Immediately,Brussels,,,,,,,,,4295,
62,vbe32536,4.3766927,50.8235717,Sale,350000,Appartment,Flat,37194,1050,1900.0,Excellent,70.0,1.0,1.0,False,,False,On contract,Brussels,,,,,,,,,4636,
63,vbe33525,4.3915511,50.808117,Sale,495000,Appartment,Flat,27241,1050,,Excellent,92.0,2.0,2.0,True,7.0,False,On contract,Brussels,Square du Vieux Tilleul,1.0,,,,,,,4517,
63,vbe33524,4.3915511,50.808117,Sale,495000,Appartment,Flat,27241,1050,,Excellent,92.0,1.0,2.0,True,7.0,False,On contract,Brussels,Square du Vieux Tilleul,1.0,,,,,,,4525,
64,vbe34857,4.3924951,50.8518238,Sale,450000,Appartment,Flat,42877,1030,2028.0,New,88.0,2.0,1.0,True,4.0,False,,Brussels,Rue Victor Hugo,56.0,,,,,,,4326,
64,vbe34855,4.3924951,50.8518238,Sale,450000,Appartment,Flat,42877,1030,2028.0,New,88.0,2.0,1.0,True,4.0,False,,Brussels,Rue Victor Hugo,56.0,,,,,,,4314,
65,vbe34858,4.3924951,50.8518238,Sale,560000,Appartment,Penthouse,42877,1030,2028.0,New,104.0,3.0,2.0,True,16.0,False,,Brussels,Rue Victor Hugo,56.0,,,,,,,4318,
65,vbe34859,4.3924951,50.8518238,Sale,560000,Appartment,Penthouse,42877,1030,2028.0,New,104.0,3.0,2.0,True,16.0,False,,Brussels,Rue Victor Hugo,56.0,,,,,,,4312,
66,vbe34815,4.3924951,50.8518238,Sale,799000,Appartment,Duplex,42877,1030,2028.0,New,170.0,4.0,2.0,True,20.0,False,,Brussels,Rue Victor Hugo,56.0,,,,80.0,,,4333,
66,vbe34854,4.3924951,50.8518238,Sale,799000,Appartment,Duplex,42877,1030,2028.0,New,170.0,4.0,2.0,True,20.0,False,,Brussels,Rue Victor Hugo,56.0,,,,80.0,,,4328,
67,rbw19246,4.393802,51.07515,Sale,1800000,House,House,30730,2830,,To be renovated,1565.0,21.0,,False,,False,,Antwerp,Grote Bergen,50.0,,27811.0,,,,,13545,
67,rbw19245,4.393802,51.07515,Sale,1800000,House,House,30730,2830,,To be renovated,1565.0,21.0,,False,,False,,Antwerp,Grote Bergen,50.0,,27811.0,,,,,13549,
