referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
rbw09157,4.5510605,51.0214211,Rent,995,Appartment,Flat,45755,2820,2020.0,Excellent,73.0,1.0,1.0,True,,,,Antwerp,Rijmenamseweg,4.0,,,,,,,3731
rbw09856,4.42179325,51.22020914,Rent,875,Appartment,Flat,40406,2060,,Normal,71.0,1.0,1.0,True,,False,Immediately,Antwerp,Van Schoonhovenstraat,88.0,,,,,,,3732
rbw03904,5.1152024,51.1977173,Rent,775,Appartment,Flat,38365,2400,,New,61.0,1.0,1.0,True,16.0,,,Antwerp,Turnhoutsebaan,103.0,,,,,,,3733
rbw04737,4.822723,51.12164,Rent,750,Appartment,Flat,40408,2200,1995.0,Normal,102.0,1.0,1.0,False,,False,Immediately,Antwerp,Molenstraat,35.0,,,,,,,3734
rbw08953,4.787221,51.26538,Rent,750,Appartment,GroundFloor,40408,2275,2007.0,Normal,103.0,2.0,1.0,True,,False,From 01/09/2026,Antwerp,Vlimmersebaan,34.0,1.0,,,,,,3735
vbe27774,4.4171,51.21637,Rent,1418,Appartment,GroundFloor,46612,2018,,Fully renovated,54.0,1.0,,,,True,,Antwerp,Appelmansstraat,30.0,,,,,,,3736
rbv86023,4.463884,51.17798,Rent,895,Appartment,Flat,38284,2640,1975.0,Normal,100.0,2.0,1.0,True,,False,Immediately,Antwerp,Meidoorn,42.0,,,,,,,3737
rbw03910,4.396354,51.19105,Rent,1400,Appartment,Flat,31150,2020,,Normal,90.0,2.0,1.0,False,2.0,True,,Antwerp,Beschavingstraat,19.0,,,,,,,3738
rbw09109,4.38779,51.22379,Rent,1300,Appartment,Flat,31150,2050,,Normal,80.0,2.0,1.0,True,,True,Immediately,Antwerp,Frederik van Eedenplein,6.0,,,,,,,3739
rbw03993,4.47456618,51.2208394,Rent,950,Appartment,Flat,42723,2100,,,81.0,1.0,1.0,False,,False,Immediately,Antwerp,Frans Van Dijckstraat,21.0,,,,,,,3740
rbw05062,4.711766,51.20515,Rent,915,Appartment,Flat,40408,2243,,New,85.0,2.0,1.0,True,12.0,False,From 01/09/2026,Antwerp,Boudewijnlaan,78.0,,,,,,,3741
rbw04251,4.402167,51.22259,Rent,1495,Appartment,Flat,40406,2000,,Excellent,126.0,2.0,1.0,False,,False,Immediately,Antwerp,Lange Koepoortstraat,40.0,,,,,,,3743
rbw08928,4.990892,51.36425,Rent,775,Appartment,Flat,40407,2380,1995.0,Normal,90.0,2.0,1.0,False,,False,Immediately,Antwerp,Grote Baan,154.0,,,,,,,3744
rbw08908,4.408461,51.10811,Rent,2950,House,House,40887,2840,2023.0,New,160.0,3.0,2.0,False,,True,Immediately,Antwerp,Eikenstraat,151.0,,,,,,,3745
rbw04063,4.937825,51.32144,Rent,900,Appartment,Flat,40407,2300,1985.0,,140.0,2.0,1.0,True,,False,Immediately,Antwerp,de Merodelei,95.0,,,,,,,3746
rbw09049,4.3970323,51.2112693,Rent,925,Appartment,Flat,38196,2000,,,,1.0,1.0,False,,,From 01/09/2026,Antwerp,Geuzenstraat,14.0,,,,,False,,3748
rbw03971,4.455612,51.14864,Rent,880,Appartment,Flat,44749,2650,2019.0,Normal,66.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Ernest Jouretlaan,45.0,,,,,,,3749
vbe28574,4.4945029,51.2555729,Rent,1000,Appartment,Flat,40088,2900,1992.0,Normal,104.0,2.0,1.0,False,4.0,False,,Antwerp,Ridder Walter van Havrelaan,41.0,1.0,,17136.0,,,,3750
