referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe36616,3.4442619,50.6531232,Sale,349000,House,House,47311,7543,,Normal,204.0,3.0,1.0,False,20.0,False,On contract,Hainaut,,,1.0,1345.0,55473.0,800.0,,,7780
vbe36602,3.219272,50.7459126,Sale,159000,House,House,46633,7700,1930.0,Excellent,115.0,2.0,1.0,,,,,Hainaut,,,,,,50.0,,,7781
vbe36546,3.3900541,50.6250538,Sale,219000,House,House,46037,7540,1950.0,Normal,149.0,4.0,1.0,False,22.0,False,On contract,Hainaut,Rue Albert,30.0,,270.0,47395.0,176.0,,,7782
vbe36620,4.4106922,50.4375682,Sale,89000,House,House,40699,6040,,To be renovated,100.0,2.0,1.0,False,,False,On contract,Hainaut,Des Goutteaux,5.0,1.0,240.0,52725.0,140.0,,,7783
rbw25603,3.5290835,50.746124,Sale,475000,House,House,33620,7750,1850.0,Fully renovated,249.0,4.0,2.0,False,36.0,False,On contract,Hainaut,Rue Labroye,6.0,1.0,1301.0,,1089.0,,,7784
vbe36523,4.440626,50.42287,Sale,200000,House,House,33164,6042,,Normal,137.0,3.0,1.0,False,19.0,False,On contract,Hainaut,Chaussée de Bruxelles,405.0,,,,,,,7785
vbe36521,4.46937806,50.43131159,Sale,170000,House,House,33164,6060,,Normal,161.0,4.0,,False,,False,On contract,Hainaut,Rue du Repos,66.0,,,,,,,7786
vbe36396,3.36809944,50.5476287,Sale,219000,House,House,40040,7620,1979.0,Normal,243.0,3.0,1.0,False,15.0,False,On contract,Hainaut,Rue de la Brasserie,15.0,2.0,,,,,,7787
vbe36454,3.9115368,50.5301464,Sale,250000,Appartment,Flat,45623,7050,2023.0,Excellent,88.0,2.0,1.0,True,,False,,Hainaut,Rue de la Gare,1.0,,,4954.0,,,,7788
vbe36451,4.2666667,50.4,Sale,179900,House,House,28338,6150,2025.0,,136.0,3.0,1.0,,,False,,Hainaut,,,1.0,273.0,,,,,7789
vbe36452,4.2666667,50.4,Sale,194900,House,House,28338,6150,2025.0,,133.0,3.0,1.0,,,False,,Hainaut,,,1.0,380.0,,,,,7790
vbe36417,4.28394453,50.49418725,Sale,185000,House,House,27584,7160,,,135.0,3.0,1.0,False,,False,,Hainaut,Rue Ferrer,38.0,,265.0,,210.0,,,7791
vbe36331,3.2651434,50.7056104,Sale,159000,Appartment,Flat,33262,7730,2006.0,Excellent,83.0,2.0,1.0,False,,False,,Hainaut,Rue du Chateau,1.0,,,15453.0,,False,,7792
vbe36435,3.219272,50.7459126,Sale,179000,Appartment,Flat,38349,7700,,,93.0,3.0,,False,,False,Negotiable,Hainaut,,,,,,,,,7793
vbe36329,4.4785997,50.4240349,Sale,199000,House,House,27873,6060,,,,3.0,1.0,,,,,Hainaut,,,,,48961.0,,,,7794
vbe36439,3.219272,50.7459126,Sale,170000,House,House,38349,7700,,,165.0,3.0,1.0,False,,False,,Hainaut,,,,,,,,,7795
vbe36428,3.3880367,50.6056059,Sale,47000,Appartment,Flat,38349,7500,,,17.0,1.0,,False,,False,,Hainaut,,,,,,,,,7796
vbe36332,3.6013594,50.5149368,Sale,490000,House,House,40366,7600,,Excellent,232.0,4.0,2.0,,80.0,False,On contract,Hainaut,,,,,52829.0,,,,7797
vbe36395,3.26128848,50.6847826,Sale,249000,House,House,40040,7730,,Excellent,133.0,5.0,1.0,False,15.0,False,On contract,Hainaut,Rue des Longs Trieux,94.0,,200.0,,,,,7798
